"SIDO_NM","SGG_NM","HADM_CD","ATRCTN_CNT","RSTRT_CNT","SHOPNG_CNT","RESIDNT_CNT_SUM","FILE_NAME","BASE_YMD"
"강원도","동해시","4217063000","21.00000","52.00000","22.00000","90560.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","동해시","4217065000","18.00000","64.00000","14.00000","90560.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223025000","21.00000","208.00000","32.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223025300","17.00000","238.00000","21.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223031000","43.00000","168.00000","30.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223032000","5.00000","22.00000","9.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223033000","2.00000","9.00000","2.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223034000","9.00000","17.00000","4.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223035000","11.00000","12.00000","8.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223036000","3.00000","32.00000","3.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223051000","5.00000","429.00000","35.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223053000","11.00000","224.00000","19.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223054000","6.00000","142.00000","21.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","삼척시","4223057000","5.00000","173.00000","25.00000","65409.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221051000","9.00000","180.00000","18.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221052000","8.00000","214.00000","11.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221054000","11.00000","412.00000","31.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221056000",,"272.00000","21.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221057000","14.00000","617.00000","46.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221058000","7.00000","320.00000","26.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221059000","8.00000","231.00000","26.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","속초시","4221060000","32.00000","465.00000","31.00000","82636.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양구군","4280025000","45.00000","387.00000","35.00000","22350.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양구군","4280031000","8.00000","65.00000","10.00000","22350.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양구군","4280032000","10.00000","39.00000","10.00000","22350.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양구군","4280033000","7.00000","36.00000","8.00000","22350.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양구군","4280034000","6.00000","24.00000","5.00000","22350.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283025000","24.00000","315.00000","36.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283031000","40.00000","78.00000","9.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283032000","8.00000","88.00000","6.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283033000","17.00000","95.00000","24.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283034000","24.00000","142.00000","18.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","양양군","4283035000","23.00000","285.00000","34.00000","27926.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
